"STORE_ID","PRODUCT_ID","MIN_SPACE","MAX_SPACE"
1201,"X001",4,11
1201,"X002",1,2
1201,"X003",2,5
1201,"X004",0,1
1201,"X005",2,5
1201,"X006",2,4
1201,"X007",2,4
1201,"X008",2,4
1201,"X009",2,6
1201,"X010",4,9
1201,"X011",2,5
1201,"X012",2,5
1201,"X013",4,10
1201,"X014",2,4
1201,"X015",4,11
1201,"X016",3,8
1201,"X017",0,0
1201,"X018",3,8
1201,"X019",0,0
1201,"X020",4,10
1201,"X021",1,2
1201,"X022",4,9
1201,"X023",4,11
1201,"X024",1,2
1201,"X025",1,2
1201,"X026",4,11
1201,"X027",2,6
1201,"X028",4,11
1201,"X029",4,9
1201,"X030",4,10
1201,"X031",5,12
1201,"X032",2,5
1201,"X033",0,0
1201,"X034",0,0
1201,"X035",2,6
1201,"X036",2,6
1201,"X037",0,0
1201,"X038",4,11
1201,"X039",4,10
1201,"X040",4,11
1201,"X041",4,11
1201,"X042",1,2
1201,"X043",4,10
1201,"X044",4,10
1201,"X045",4,9
1201,"X046",3,8
1201,"X047",2,4
1201,"X048",3,8
1201,"X049",4,10
1201,"X050",4,10
1201,"X051",2,4
1201,"X052",4,10
1201,"X053",0,1
1201,"X054",4,10
1201,"X055",5,12
1201,"X056",0,1
1201,"X057",1,2
1201,"X058",5,12
1201,"X059",3,8
1201,"X060",2,5
1201,"X061",0,0
1201,"X062",4,10
1201,"X063",2,5
1201,"X064",0,1
1201,"X065",4,10
1201,"X066",4,11
1201,"X067",4,11
1201,"X068",5,12
1201,"X069",5,12
1201,"X070",0,0
1201,"X071",4,10
1201,"X072",5,12
1201,"X073",3,8
1201,"X074",3,8
1201,"X075",5,12
1201,"X076",2,5
1201,"X077",0,0
1201,"X078",2,4
1201,"X079",1,2
1201,"X080",5,12
1201,"X081",2,4
1201,"X082",4,11
1201,"X083",2,6
1201,"X084",2,4
1201,"X085",5,12
1201,"X086",5,12
1201,"X087",4,11
1201,"X088",2,6
1201,"X089",3,8
1201,"X090",2,5
1201,"X091",4,11
1201,"X092",5,12
1201,"X093",2,5
1201,"X094",2,6
1201,"X095",0,0
1201,"X096",3,8
1201,"X097",5,12
1201,"X098",4,10
1201,"X099",4,11
1201,"X100",4,11
1202,"X001",1,2
1202,"X002",3,8
1202,"X003",1,2
1202,"X004",3,8
1202,"X005",3,8
1202,"X006",5,12
1202,"X007",1,2
1202,"X008",0,0
1202,"X009",1,2
1202,"X010",3,8
1202,"X011",4,9
1202,"X012",5,12
1202,"X013",5,12
1202,"X014",4,9
1202,"X015",4,11
1202,"X016",5,12
1202,"X017",4,9
1202,"X018",5,12
1202,"X019",2,4
1202,"X020",2,5
1202,"X021",4,10
1202,"X022",2,5
1202,"X023",2,4
1202,"X024",4,9
1202,"X025",0,1
1202,"X026",0,1
1202,"X027",1,2
1202,"X028",4,10
1202,"X029",2,4
1202,"X030",4,9
1202,"X031",5,12
1202,"X032",1,2
1202,"X033",4,10
1202,"X034",3,8
1202,"X035",0,1
1202,"X036",4,10
1202,"X037",2,5
1202,"X038",4,9
1202,"X039",1,2
1202,"X040",2,5
1202,"X041",2,6
1202,"X042",0,1
1202,"X043",4,11
1202,"X044",2,6
1202,"X045",5,12
1202,"X046",4,9
1202,"X047",1,2
1202,"X048",4,11
1202,"X049",3,8
1202,"X050",2,6
1202,"X051",0,0
1202,"X052",2,5
1202,"X053",3,8
1202,"X054",4,11
1202,"X055",2,6
1202,"X056",1,2
1202,"X057",1,2
1202,"X058",5,12
1202,"X059",4,10
1202,"X060",4,10
1202,"X061",4,11
1202,"X062",2,6
1202,"X063",4,9
1202,"X064",4,9
1202,"X065",2,4
1202,"X066",0,1
1202,"X067",2,4
1202,"X068",4,9
1202,"X069",4,9
1202,"X070",4,10
1202,"X071",4,9
1202,"X072",1,2
1202,"X073",4,9
1202,"X074",5,12
1202,"X075",4,10
1202,"X076",0,0
1202,"X077",4,11
1202,"X078",0,1
1202,"X079",2,5
1202,"X080",3,8
1202,"X081",4,11
1202,"X082",5,12
1202,"X083",4,9
1202,"X084",2,5
1202,"X085",4,11
1202,"X086",4,9
1202,"X087",2,6
1202,"X088",2,6
1202,"X089",0,1
1202,"X090",2,4
1202,"X091",0,0
1202,"X092",4,10
1202,"X093",2,4
1202,"X094",0,0
1202,"X095",1,2
1202,"X096",2,4
1202,"X097",4,11
1202,"X098",4,9
1202,"X099",4,11
1202,"X100",1,2
1203,"X001",4,11
1203,"X002",1,2
1203,"X003",1,2
1203,"X004",4,9
1203,"X005",4,11
1203,"X006",4,11
1203,"X007",3,8
1203,"X008",4,11
1203,"X009",2,5
1203,"X010",4,9
1203,"X011",3,8
1203,"X012",2,6
1203,"X013",4,9
1203,"X014",5,12
1203,"X015",0,1
1203,"X016",0,0
1203,"X017",4,11
1203,"X018",0,0
1203,"X019",2,5
1203,"X020",0,1
1203,"X021",3,8
1203,"X022",2,5
1203,"X023",2,4
1203,"X024",0,0
1203,"X025",4,9
1203,"X026",0,0
1203,"X027",1,2
1203,"X028",0,1
1203,"X029",5,12
1203,"X030",1,2
1203,"X031",3,8
1203,"X032",4,10
1203,"X033",4,11
1203,"X034",1,2
1203,"X035",1,2
1203,"X036",2,4
1203,"X037",1,2
1203,"X038",2,6
1203,"X039",2,5
1203,"X040",2,5
1203,"X041",2,5
1203,"X042",0,1
1203,"X043",2,4
1203,"X044",3,8
1203,"X045",5,12
1203,"X046",2,5
1203,"X047",2,5
1203,"X048",4,10
1203,"X049",0,0
1203,"X050",4,11
1203,"X051",2,4
1203,"X052",2,4
1203,"X053",1,2
1203,"X054",4,10
1203,"X055",4,10
1203,"X056",5,12
1203,"X057",0,1
1203,"X058",2,6
1203,"X059",1,2
1203,"X060",1,2
1203,"X061",2,6
1203,"X062",0,0
1203,"X063",3,8
1203,"X064",2,4
1203,"X065",0,0
1203,"X066",0,0
1203,"X067",0,0
1203,"X068",0,0
1203,"X069",4,9
1203,"X070",5,12
1203,"X071",5,12
1203,"X072",5,12
1203,"X073",5,12
1203,"X074",0,0
1203,"X075",4,11
1203,"X076",3,8
1203,"X077",2,5
1203,"X078",4,11
1203,"X079",1,2
1203,"X080",0,1
1203,"X081",0,1
1203,"X082",0,0
1203,"X083",0,0
1203,"X084",4,11
1203,"X085",4,10
1203,"X086",2,5
1203,"X087",2,6
1203,"X088",4,9
1203,"X089",1,2
1203,"X090",2,5
1203,"X091",3,8
1203,"X092",0,0
1203,"X093",3,8
1203,"X094",2,4
1203,"X095",3,8
1203,"X096",2,6
1203,"X097",2,6
1203,"X098",2,5
1203,"X099",4,11
1203,"X100",1,2
1204,"X001",2,6
1204,"X002",4,9
1204,"X003",0,0
1204,"X004",4,11
1204,"X005",4,10
1204,"X006",4,10
1204,"X007",1,2
1204,"X008",0,1
1204,"X009",4,11
1204,"X010",5,12
1204,"X011",4,10
1204,"X012",3,8
1204,"X013",4,11
1204,"X014",4,10
1204,"X015",2,5
1204,"X016",0,0
1204,"X017",2,4
1204,"X018",4,9
1204,"X019",2,5
1204,"X020",2,6
1204,"X021",2,4
1204,"X022",3,8
1204,"X023",5,12
1204,"X024",1,2
1204,"X025",2,6
1204,"X026",1,2
1204,"X027",5,12
1204,"X028",4,10
1204,"X029",5,12
1204,"X030",1,2
1204,"X031",0,0
1204,"X032",0,0
1204,"X033",4,10
1204,"X034",3,8
1204,"X035",4,11
1204,"X036",0,1
1204,"X037",4,11
1204,"X038",4,11
1204,"X039",4,11
1204,"X040",4,10
1204,"X041",2,4
1204,"X042",4,9
1204,"X043",2,4
1204,"X044",3,8
1204,"X045",3,8
1204,"X046",0,0
1204,"X047",5,12
1204,"X048",4,11
1204,"X049",2,4
1204,"X050",0,1
1204,"X051",2,4
1204,"X052",5,12
1204,"X053",4,10
1204,"X054",2,4
1204,"X055",0,1
1204,"X056",0,1
1204,"X057",2,4
1204,"X058",0,0
1204,"X059",2,6
1204,"X060",1,2
1204,"X061",1,2
1204,"X062",2,6
1204,"X063",4,9
1204,"X064",0,0
1204,"X065",2,4
1204,"X066",2,5
1204,"X067",2,6
1204,"X068",0,0
1204,"X069",2,5
1204,"X070",4,9
1204,"X071",4,11
1204,"X072",2,6
1204,"X073",1,2
1204,"X074",3,8
1204,"X075",0,1
1204,"X076",2,5
1204,"X077",1,2
1204,"X078",5,12
1204,"X079",2,6
1204,"X080",5,12
1204,"X081",3,8
1204,"X082",1,2
1204,"X083",5,12
1204,"X084",5,12
1204,"X085",2,4
1204,"X086",3,8
1204,"X087",2,4
1204,"X088",3,8
1204,"X089",2,6
1204,"X090",4,11
1204,"X091",4,10
1204,"X092",5,12
1204,"X093",0,1
1204,"X094",0,0
1204,"X095",4,11
1204,"X096",2,4
1204,"X097",4,10
1204,"X098",2,5
1204,"X099",4,11
1204,"X100",4,9
1205,"X001",1,2
1205,"X002",0,0
1205,"X003",5,12
1205,"X004",2,6
1205,"X005",0,0
1205,"X006",0,1
1205,"X007",2,4
1205,"X008",5,12
1205,"X009",5,12
1205,"X010",5,12
1205,"X011",2,6
1205,"X012",2,4
1205,"X013",4,9
1205,"X014",4,11
1205,"X015",2,6
1205,"X016",2,6
1205,"X017",0,1
1205,"X018",0,0
1205,"X019",1,2
1205,"X020",0,1
1205,"X021",4,9
1205,"X022",4,10
1205,"X023",4,10
1205,"X024",2,5
1205,"X025",2,5
1205,"X026",2,5
1205,"X027",1,2
1205,"X028",5,12
1205,"X029",1,2
1205,"X030",2,4
1205,"X031",4,10
1205,"X032",4,9
1205,"X033",2,5
1205,"X034",4,11
1205,"X035",5,12
1205,"X036",2,6
1205,"X037",4,10
1205,"X038",5,12
1205,"X039",4,11
1205,"X040",0,1
1205,"X041",2,4
1205,"X042",4,9
1205,"X043",0,0
1205,"X044",4,11
1205,"X045",1,2
1205,"X046",2,5
1205,"X047",2,5
1205,"X048",2,4
1205,"X049",1,2
1205,"X050",0,1
1205,"X051",2,4
1205,"X052",4,9
1205,"X053",2,4
1205,"X054",2,4
1205,"X055",0,1
1205,"X056",1,2
1205,"X057",5,12
1205,"X058",4,10
1205,"X059",4,9
1205,"X060",4,10
1205,"X061",5,12
1205,"X062",2,5
1205,"X063",5,12
1205,"X064",4,9
1205,"X065",2,6
1205,"X066",2,6
1205,"X067",4,9
1205,"X068",4,11
1205,"X069",2,6
1205,"X070",5,12
1205,"X071",2,5
1205,"X072",0,0
1205,"X073",4,10
1205,"X074",4,11
1205,"X075",0,1
1205,"X076",2,4
1205,"X077",5,12
1205,"X078",1,2
1205,"X079",1,2
1205,"X080",4,11
1205,"X081",2,5
1205,"X082",2,4
1205,"X083",0,1
1205,"X084",2,4
1205,"X085",2,5
1205,"X086",4,9
1205,"X087",4,11
1205,"X088",4,10
1205,"X089",4,11
1205,"X090",2,5
1205,"X091",3,8
1205,"X092",3,8
1205,"X093",4,11
1205,"X094",2,6
1205,"X095",0,1
1205,"X096",4,9
1205,"X097",4,10
1205,"X098",2,4
1205,"X099",5,12
1205,"X100",4,11
1206,"X001",5,12
1206,"X002",4,9
1206,"X003",1,2
1206,"X004",4,9
1206,"X005",4,10
1206,"X006",2,6
1206,"X007",1,2
1206,"X008",1,2
1206,"X009",0,1
1206,"X010",1,2
1206,"X011",2,6
