"product_id","product_name"
"001","SKIN CARE"
"002","COOKING OILS"
"003","COOK IN SAUCE"
"004","RICE"
"005","FABRIC SOFTENER"
"006","PREWASH"
"007","PASTA SAUCE"
"008","PAPER TOWELS"
"009","FACIAL TISSUES"
"010","TOILET TISSUES"
"011","POSTWASH"
"012","PEST CONTROL"
"013","BRUSHWARE"
"014","JUICE - TETRA AND CANNED"
"015","CEREALS - READY TO EAT"
"016","TOPPINGS AND CONES"
"017","CORDIALS"
"018","SALAD DRESSINGS"
"019","DISINFECTANTS"
"020","HAIR STYLING"
"021","SOAPS AND BODYWASH"
"022","DRINKS - SOFT DRINKS"
"023","DRINKS - MIXERS"
"024","DRINKS - STILL WATERS"
"025","DRINKS - HOME BREW AND NON ALCOHOLIC"
"026","INDIAN"
"027","GROCERY MILK"
"028","SAUCE"
"029","SHAMPOO AND CONDITIONER"
"030","MEXICAN"
"031","HAIR COLOURANTS"
"032","SPREADS - SAVOURY AND HONEY"
"033","SIDE DISHES"
"034","DENTAL HEALTH"
"035","BABY FOOD AND FORMULA"
"036","AIR FRESHENERS"
"037","INFANTS ACCESSORIES"
"038","GARBAGE BAGS"
"039","CANNED FISH"
"040","VINEGAR"
"041","MUSTARDS AND RELISH"
"042","MILK ADDITIVES"
"043","SANITARY PROTECTION"
"044","CONFECTIONERY - BOXED CHOCOLATES"
"045","CONFECTIONERY - BAR LINES"
"046","CONFECTIONERY - MULTI BAGS"
"047","CONFECTIONERY - GUMS ROLLS POCKET PACKS"
"048","DRINKS - ENERGY"
"049","PASTA"
"050","MEDICINAL AND FIRST AID"
"051","LAUNDRY DETERGENTS"
"052","MENS CARE AND HAIR REMOVAL"
"053","NOODLES"
"054","DEODORANTS AND TALCS"
"055","COFFEE - INSTANT ROAST AND GROUND"
"056","PICKLED VEGETABLES"
"057","CIGARETTES"
"058","SPICES"
"059","NEW ZEALAND"
"060","CANNED MEALS"
"061","DISHWASHING DETERGENTS"
"062","NAPPIES"
"063","NUTRITIONAL SNACKS"
"064","DOG FOOD - TREATS"
"065","DOG FOOD - DRY"
"066","CAT FOOD - DRY"
"067","SNACKFOODS - NUTS"
"068","INFANTS PERSONAL"
"069","BAKED BEANS"
"070","GROCERY SMALLGOODS"
"071","SPREADS - JAMS"
"072","WRAPS AND FOILS"
"073","TEA"
"074","CANNED VEGETABLES"
"075","FLOUR"
"076","SUGAR"
"077","CAKE MIX"
"078","CEREALS - CONVENIENCE"
"079","CONFECTIONERY - BLOCK CHOCOLATE"
"080","CONVENIENCE MEALS"
"081","GRAVY AND STOCK"
"082","CLEANING GOODS"
"083","DESSERTS"
"084","SCOURERS AND SPONGES"
"085","SHOE CARE"
"086","GLOVES"
"087","CANNED FRUIT"
"088","EGGS"
"089","DRINKS - MINERAL WATER"
"090","JUICE - PET AND GLASS"
"091","DRINKS - SPORTS"
"092","COLD DRINK FRIDGE (WRAP AROUND)"
"093","RECIPE MEAL BASES"
"094","CONFECTIONERY - KIDS"
"095","CEREALS - BRANS AND OATS"
"096","CEREALS - MUESLI"
"097","DRINKS - FUNCTIONAL WATER"
"098","COLD DRINK FRIDGE (CHECKOUT)"
"099","TOILET CLEANERS"
"100","VITAMINS"
